ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,distance_gspphot
274.3744185911088,-18.947687254136177,-0.19644573002286148,18.529242,20.879532,17.122257,,514.5707
274.37744186049724,-18.942568394445882,0.38358860897619795,15.630382,16.36934,14.781947,,1994.2557
274.3755337539722,-18.942860140741068,-0.23051552938463038,19.049265,21.23671,17.569176,,
274.37162156142097,-18.944189780547013,-0.3556207756890017,19.44419,21.723421,17.504593,,
274.3661376369686,-18.946328506257178,4.55943820987831,20.5518,22.188536,18.905884,,
274.3732204234997,-18.943143419866978,,20.899069,21.892456,19.384142,,
274.3772899563814,-18.948975282650267,1.2295880363036853,19.238157,,,,
274.3950932371808,-18.941751071521427,0.420308053236841,18.448004,19.566563,17.51071,,702.4136
274.3950250954561,-18.938424091123075,0.3160884707720785,15.429216,16.175795,14.525992,,3302.6133
274.3875398582623,-18.94459336881103,-0.17388626054958384,19.976912,21.760973,18.690256,,
274.3914467784104,-18.943533625300507,0.22154865416196165,20.289259,21.385561,18.693981,,
274.39293202117585,-18.93945453331286,,21.193083,,,,
274.37637242765663,-18.939409399979414,-0.33944980228432003,17.614996,19.727757,15.653184,,
274.391522232471,-18.94307889764274,,20.680262,,,,
274.39054899401765,-18.942467406178487,,20.640554,,,,
274.3962103218795,-18.940247636163136,,,,19.699638,,
274.40273014407893,-18.93692225368082,0.5630512727073087,17.334837,18.41122,16.31435,,
